Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Beginner,Intermediate,Average,Excellent,Professional,Poor,Intermediate,Poor,Professional,Intermediate,Poor,Average,Not Interested,Poor,Beginner,Average,Average,Information Security Specialist
Average,Professional,Poor,Excellent,Professional,Poor,Poor,Professional,Professional,Beginner,Beginner,Average,Average,Average,Intermediate,Average,Poor,Information Security Specialist
Intermediate,Excellent,Intermediate,Excellent,Professional,Beginner,Average,Average,Professional,Poor,Professional,Average,Not Interested,Beginner,Average,Poor,Poor,Information Security Specialist
Beginner,Beginner,Not Interested,Excellent,Professional,Poor,Poor,Beginner,Professional,Poor,Not Interested,Poor,Average,Not Interested,Beginner,Poor,Beginner,Information Security Specialist
Beginner,Not Interested,Professional,Excellent,Professional,Poor,Beginner,Average,Professional,Not Interested,Excellent,Average,Not Interested,Intermediate,Average,Not Interested,Professional,Information Security Specialist
Not Interested,Intermediate,Not Interested,Excellent,Professional,Average,Poor,Beginner,Professional,Beginner,Professional,Beginner,Professional,Intermediate,Not Interested,Professional,Not Interested,Information Security Specialist
Not Interested,Intermediate,Intermediate,Excellent,Professional,Beginner,Beginner,Beginner,Professional,Excellent,Average,Intermediate,Beginner,Professional,Poor,Intermediate,Average,Information Security Specialist
Average,Average,Beginner,Excellent,Professional,Poor,Beginner,Beginner,Professional,Intermediate,Poor,Intermediate,Average,Beginner,Beginner,Beginner,Poor,Information Security Specialist
Intermediate,Average,Average,Excellent,Professional,Beginner,Intermediate,Not Interested,Professional,Average,Average,Average,Not Interested,Intermediate,Intermediate,Average,Beginner,Information Security Specialist
Poor,Poor,Beginner,Excellent,Professional,Excellent,Beginner,Average,Professional,Beginner,Excellent,Professional,Poor,Intermediate,Professional,Not Interested,Average,Information Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Beginner,Beginner,Professional,Professional,Average,Poor,Intermediate,Intermediate,Intermediate,Poor,Average,Beginner,Information Security Specialist
Not Interested,Not Interested,Excellent,Excellent,Professional,Intermediate,Average,Average,Professional,Average,Beginner,Beginner,Not Interested,Excellent,Beginner,Not Interested,Intermediate,Information Security Specialist
Professional,Poor,Not Interested,Excellent,Professional,Average,Beginner,Not Interested,Professional,Beginner,Beginner,Beginner,Poor,Intermediate,Professional,Poor,Average,Information Security Specialist
Average,Not Interested,Beginner,Excellent,Professional,Beginner,Average,Professional,Professional,Intermediate,Not Interested,Intermediate,Intermediate,Average,Poor,Beginner,Excellent,Information Security Specialist
Intermediate,Professional,Beginner,Excellent,Professional,Intermediate,Not Interested,Beginner,Professional,Not Interested,Poor,Poor,Beginner,Intermediate,Poor,Poor,Not Interested,Information Security Specialist
Poor,Not Interested,Not Interested,Excellent,Professional,Beginner,Beginner,Average,Professional,Poor,Average,Average,Not Interested,Poor,Beginner,Professional,Professional,Information Security Specialist
Average,Beginner,Not Interested,Excellent,Professional,Average,Beginner,Not Interested,Professional,Average,Intermediate,Not Interested,Beginner,Not Interested,Average,Beginner,Average,Information Security Specialist
Beginner,Average,Beginner,Excellent,Professional,Professional,Poor,Intermediate,Professional,Poor,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Average,Not Interested,Information Security Specialist
Beginner,Not Interested,Intermediate,Excellent,Professional,Average,Professional,Not Interested,Professional,Excellent,Beginner,Poor,Not Interested,Professional,Not Interested,Intermediate,Average,Information Security Specialist
Excellent,Beginner,Professional,Excellent,Professional,Intermediate,Poor,Poor,Professional,Intermediate,Average,Not Interested,Average,Average,Beginner,Average,Beginner,Information Security Specialist
Excellent,Not Interested,Intermediate,Excellent,Professional,Poor,Beginner,Beginner,Professional,Beginner,Professional,Intermediate,Professional,Excellent,Poor,Not Interested,Intermediate,Information Security Specialist
Beginner,Average,Beginner,Excellent,Professional,Excellent,Excellent,Not Interested,Professional,Intermediate,Not Interested,Average,Average,Not Interested,Poor,Intermediate,Average,Information Security Specialist
Intermediate,Not Interested,Average,Excellent,Professional,Not Interested,Beginner,Professional,Professional,Not Interested,Intermediate,Beginner,Professional,Not Interested,Poor,Poor,Poor,Information Security Specialist
Not Interested,Professional,Intermediate,Excellent,Professional,Beginner,Poor,Intermediate,Professional,Average,Average,Intermediate,Poor,Professional,Professional,Beginner,Not Interested,Information Security Specialist
Not Interested,Poor,Beginner,Excellent,Professional,Intermediate,Not Interested,Average,Professional,Poor,Beginner,Not Interested,Not Interested,Average,Average,Beginner,Not Interested,Information Security Specialist
Average,Average,Poor,Excellent,Professional,Poor,Beginner,Professional,Professional,Professional,Beginner,Average,Average,Intermediate,Beginner,Intermediate,Average,Information Security Specialist
Average,Professional,Beginner,Excellent,Professional,Not Interested,Average,Poor,Professional,Intermediate,Beginner,Average,Average,Not Interested,Intermediate,Not Interested,Professional,Information Security Specialist
Not Interested,Average,Not Interested,Excellent,Professional,Professional,Average,Not Interested,Professional,Not Interested,Average,Excellent,Average,Excellent,Poor,Poor,Excellent,Information Security Specialist
Average,Not Interested,Average,Excellent,Professional,Average,Average,Not Interested,Professional,Beginner,Average,Professional,Average,Poor,Professional,Not Interested,Poor,Information Security Specialist
Beginner,Poor,Beginner,Excellent,Professional,Poor,Professional,Poor,Professional,Beginner,Professional,Poor,Not Interested,Not Interested,Beginner,Poor,Not Interested,Information Security Specialist
Beginner,Poor,Beginner,Excellent,Professional,Average,Poor,Beginner,Professional,Professional,Average,Not Interested,Beginner,Not Interested,Average,Professional,Professional,Information Security Specialist
Beginner,Not Interested,Not Interested,Excellent,Professional,Not Interested,Professional,Intermediate,Professional,Average,Not Interested,Beginner,Average,Beginner,Beginner,Poor,Poor,Information Security Specialist
Beginner,Professional,Intermediate,Excellent,Professional,Beginner,Average,Intermediate,Professional,Beginner,Average,Beginner,Average,Beginner,Professional,Intermediate,Average,Information Security Specialist
Poor,Beginner,Professional,Excellent,Professional,Beginner,Beginner,Beginner,Professional,Intermediate,Not Interested,Average,Poor,Not Interested,Not Interested,Beginner,Not Interested,Information Security Specialist
Average,Average,Not Interested,Excellent,Professional,Intermediate,Beginner,Professional,Professional,Not Interested,Intermediate,Not Interested,Poor,Average,Not Interested,Beginner,Not Interested,Information Security Specialist
Not Interested,Intermediate,Poor,Excellent,Professional,Intermediate,Intermediate,Not Interested,Professional,Excellent,Excellent,Beginner,Poor,Beginner,Professional,Poor,Average,Information Security Specialist
Average,Poor,Intermediate,Excellent,Professional,Professional,Beginner,Not Interested,Professional,Not Interested,Intermediate,Not Interested,Average,Poor,Poor,Poor,Poor,Information Security Specialist
Intermediate,Average,Intermediate,Excellent,Professional,Average,Average,Intermediate,Professional,Beginner,Average,Not Interested,Not Interested,Beginner,Poor,Poor,Professional,Information Security Specialist
Poor,Intermediate,Average,Excellent,Professional,Beginner,Poor,Professional,Professional,Not Interested,Professional,Not Interested,Poor,Excellent,Not Interested,Intermediate,Intermediate,Information Security Specialist
Not Interested,Average,Professional,Intermediate,Beginner,Professional,Professional,Average,Beginner,Beginner,Intermediate,Professional,Intermediate,Poor,Professional,Intermediate,Average,API Specialist
Not Interested,Beginner,Beginner,Excellent,Not Interested,Professional,Professional,Beginner,Average,Average,Not Interested,Average,Professional,Professional,Poor,Average,Intermediate,API Specialist
Beginner,Beginner,Intermediate,Beginner,Average,Professional,Professional,Professional,Intermediate,Intermediate,Intermediate,Poor,Beginner,Average,Beginner,Poor,Beginner,API Specialist
Beginner,Professional,Not Interested,Average,Average,Professional,Professional,Intermediate,Professional,Excellent,Professional,Not Interested,Average,Poor,Not Interested,Poor,Poor,API Specialist
Average,Professional,Beginner,Professional,Not Interested,Professional,Professional,Average,Not Interested,Not Interested,Intermediate,Poor,Not Interested,Not Interested,Poor,Poor,Intermediate,API Specialist
Average,Excellent,Professional,Beginner,Beginner,Professional,Professional,Average,Average,Beginner,Professional,Average,Poor,Not Interested,Beginner,Intermediate,Excellent,API Specialist
Not Interested,Poor,Not Interested,Average,Poor,Professional,Professional,Not Interested,Intermediate,Beginner,Average,Beginner,Not Interested,Beginner,Poor,Poor,Intermediate,API Specialist
Not Interested,Excellent,Beginner,Average,Intermediate,Professional,Professional,Professional,Beginner,Average,Not Interested,Intermediate,Not Interested,Professional,Intermediate,Not Interested,Beginner,API Specialist
Beginner,Intermediate,Intermediate,Beginner,Beginner,Professional,Professional,Intermediate,Beginner,Poor,Beginner,Average,Not Interested,Not Interested,Professional,Beginner,Beginner,API Specialist
Not Interested,Beginner,Average,Beginner,Intermediate,Professional,Professional,Professional,Intermediate,Average,Beginner,Professional,Professional,Beginner,Beginner,Intermediate,Poor,API Specialist
Intermediate,Poor,Beginner,Not Interested,Not Interested,Professional,Professional,Intermediate,Average,Average,Intermediate,Average,Average,Average,Beginner,Poor,Professional,API Specialist
Professional,Not Interested,Beginner,Average,Intermediate,Professional,Professional,Professional,Intermediate,Beginner,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Average,Poor,API Specialist
Beginner,Average,Average,Professional,Beginner,Professional,Professional,Intermediate,Beginner,Intermediate,Not Interested,Average,Beginner,Professional,Beginner,Professional,Poor,API Specialist
Average,Intermediate,Beginner,Beginner,Intermediate,Professional,Professional,Average,Intermediate,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Beginner,API Specialist
Not Interested,Professional,Professional,Not Interested,Not Interested,Professional,Professional,Average,Beginner,Intermediate,Not Interested,Professional,Poor,Average,Average,Professional,Professional,API Specialist
Beginner,Beginner,Poor,Beginner,Professional,Professional,Professional,Intermediate,Poor,Professional,Average,Beginner,Intermediate,Professional,Professional,Intermediate,Average,API Specialist
Beginner,Professional,Professional,Average,Beginner,Professional,Professional,Poor,Professional,Beginner,Intermediate,Not Interested,Average,Beginner,Average,Professional,Beginner,API Specialist
Poor,Not Interested,Not Interested,Beginner,Intermediate,Professional,Professional,Average,Not Interested,Not Interested,Not Interested,Intermediate,Poor,Average,Not Interested,Poor,Not Interested,API Specialist
Beginner,Intermediate,Average,Intermediate,Not Interested,Professional,Professional,Not Interested,Not Interested,Excellent,Average,Intermediate,Average,Average,Beginner,Not Interested,Intermediate,API Specialist
Not Interested,Average,Average,Not Interested,Beginner,Professional,Professional,Intermediate,Average,Not Interested,Poor,Not Interested,Average,Average,Intermediate,Professional,Not Interested,API Specialist
